Episode,Discounted_G,Total_Reward,Epsilon
178,-2.4046,-5.3456,0.01
179,1.0193,4.1666,0.01
180,-3.5602,-3.0938,0.01
181,-0.1425,-2.7154,0.01
182,0.7307,-7.533,0.01
183,3.7045,-2.446,0.01
184,-0.6634,-9.415,0.01
185,-3.3989,-2.3272,0.01
186,-0.417,-10.5566,0.01
187,0.4471,1.5974,0.01
188,1.5224,0.2642,0.01
189,0.488,-13.8284,0.01
190,1.6793,-6.7996,0.01
191,-11.4556,-20.8614,0.01
192,10.4224,13.1338,0.01
193,1.3145,-2.503,0.01
194,-1.9368,-7.0438,0.01
195,0.2594,-6.459,0.01
196,3.8713,0.5162,0.01
197,-4.7132,-8.0172,0.01
198,-0.5477,-3.255,0.01
199,0.8132,-7.7268,0.01
200,-6.9713,-11.909,0.01
