State_Index,Mac_Bin,Flood_Bin,Age_Bin,Mac_Range,Flood_Range,Age_Range,Q_EVICT,Q_INC_AGE,Q_DEC_AGE,Q_REBALANCE,Best_Action
166,2,4,6,"Bin 2: [0.250, 0.375]","Bin 4: [0.500, 0.625]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
167,2,4,7,"Bin 2: [0.250, 0.375]","Bin 4: [0.500, 0.625]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
168,2,5,0,"Bin 2: [0.250, 0.375]","Bin 5: [0.625, 0.750]","Bin 0: [0.000, 0.125]",0.0,0.0,0.0,0.0,EVICT
169,2,5,1,"Bin 2: [0.250, 0.375]","Bin 5: [0.625, 0.750]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
170,2,5,2,"Bin 2: [0.250, 0.375]","Bin 5: [0.625, 0.750]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
171,2,5,3,"Bin 2: [0.250, 0.375]","Bin 5: [0.625, 0.750]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
172,2,5,4,"Bin 2: [0.250, 0.375]","Bin 5: [0.625, 0.750]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
173,2,5,5,"Bin 2: [0.250, 0.375]","Bin 5: [0.625, 0.750]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
174,2,5,6,"Bin 2: [0.250, 0.375]","Bin 5: [0.625, 0.750]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
175,2,5,7,"Bin 2: [0.250, 0.375]","Bin 5: [0.625, 0.750]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
176,2,6,0,"Bin 2: [0.250, 0.375]","Bin 6: [0.750, 0.875]","Bin 0: [0.000, 0.125]",0.0,0.0,0.0,0.0,EVICT
177,2,6,1,"Bin 2: [0.250, 0.375]","Bin 6: [0.750, 0.875]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
178,2,6,2,"Bin 2: [0.250, 0.375]","Bin 6: [0.750, 0.875]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
179,2,6,3,"Bin 2: [0.250, 0.375]","Bin 6: [0.750, 0.875]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
180,2,6,4,"Bin 2: [0.250, 0.375]","Bin 6: [0.750, 0.875]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
181,2,6,5,"Bin 2: [0.250, 0.375]","Bin 6: [0.750, 0.875]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
182,2,6,6,"Bin 2: [0.250, 0.375]","Bin 6: [0.750, 0.875]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
183,2,6,7,"Bin 2: [0.250, 0.375]","Bin 6: [0.750, 0.875]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
184,2,7,0,"Bin 2: [0.250, 0.375]","Bin 7: [0.875, 1.000]","Bin 0: [0.000, 0.125]",0.0,0.0,0.0,0.0,EVICT
185,2,7,1,"Bin 2: [0.250, 0.375]","Bin 7: [0.875, 1.000]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
186,2,7,2,"Bin 2: [0.250, 0.375]","Bin 7: [0.875, 1.000]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
187,2,7,3,"Bin 2: [0.250, 0.375]","Bin 7: [0.875, 1.000]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
188,2,7,4,"Bin 2: [0.250, 0.375]","Bin 7: [0.875, 1.000]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
189,2,7,5,"Bin 2: [0.250, 0.375]","Bin 7: [0.875, 1.000]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
190,2,7,6,"Bin 2: [0.250, 0.375]","Bin 7: [0.875, 1.000]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
191,2,7,7,"Bin 2: [0.250, 0.375]","Bin 7: [0.875, 1.000]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
192,3,0,0,"Bin 3: [0.375, 0.500]","Bin 0: [0.000, 0.125]","Bin 0: [0.000, 0.125]",-6.4576,-6.331,-6.2689,-5.7242,REBALANCE
193,3,0,1,"Bin 3: [0.375, 0.500]","Bin 0: [0.000, 0.125]","Bin 1: [0.125, 0.250]",0.1229,0.0,0.0,0.0,EVICT
194,3,0,2,"Bin 3: [0.375, 0.500]","Bin 0: [0.000, 0.125]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
195,3,0,3,"Bin 3: [0.375, 0.500]","Bin 0: [0.000, 0.125]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
196,3,0,4,"Bin 3: [0.375, 0.500]","Bin 0: [0.000, 0.125]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
197,3,0,5,"Bin 3: [0.375, 0.500]","Bin 0: [0.000, 0.125]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
198,3,0,6,"Bin 3: [0.375, 0.500]","Bin 0: [0.000, 0.125]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
199,3,0,7,"Bin 3: [0.375, 0.500]","Bin 0: [0.000, 0.125]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
200,3,1,0,"Bin 3: [0.375, 0.500]","Bin 1: [0.125, 0.250]","Bin 0: [0.000, 0.125]",0.0,0.0,0.0,0.0,EVICT
201,3,1,1,"Bin 3: [0.375, 0.500]","Bin 1: [0.125, 0.250]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
202,3,1,2,"Bin 3: [0.375, 0.500]","Bin 1: [0.125, 0.250]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
203,3,1,3,"Bin 3: [0.375, 0.500]","Bin 1: [0.125, 0.250]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
204,3,1,4,"Bin 3: [0.375, 0.500]","Bin 1: [0.125, 0.250]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
205,3,1,5,"Bin 3: [0.375, 0.500]","Bin 1: [0.125, 0.250]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
206,3,1,6,"Bin 3: [0.375, 0.500]","Bin 1: [0.125, 0.250]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
207,3,1,7,"Bin 3: [0.375, 0.500]","Bin 1: [0.125, 0.250]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
208,3,2,0,"Bin 3: [0.375, 0.500]","Bin 2: [0.250, 0.375]","Bin 0: [0.000, 0.125]",-0.213,-0.1459,0.0,-0.1057,DEC_AGE
209,3,2,1,"Bin 3: [0.375, 0.500]","Bin 2: [0.250, 0.375]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
210,3,2,2,"Bin 3: [0.375, 0.500]","Bin 2: [0.250, 0.375]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
211,3,2,3,"Bin 3: [0.375, 0.500]","Bin 2: [0.250, 0.375]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
212,3,2,4,"Bin 3: [0.375, 0.500]","Bin 2: [0.250, 0.375]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
213,3,2,5,"Bin 3: [0.375, 0.500]","Bin 2: [0.250, 0.375]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
214,3,2,6,"Bin 3: [0.375, 0.500]","Bin 2: [0.250, 0.375]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
215,3,2,7,"Bin 3: [0.375, 0.500]","Bin 2: [0.250, 0.375]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
216,3,3,0,"Bin 3: [0.375, 0.500]","Bin 3: [0.375, 0.500]","Bin 0: [0.000, 0.125]",0.0,0.0,0.0,0.0,EVICT
217,3,3,1,"Bin 3: [0.375, 0.500]","Bin 3: [0.375, 0.500]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
218,3,3,2,"Bin 3: [0.375, 0.500]","Bin 3: [0.375, 0.500]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
219,3,3,3,"Bin 3: [0.375, 0.500]","Bin 3: [0.375, 0.500]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
220,3,3,4,"Bin 3: [0.375, 0.500]","Bin 3: [0.375, 0.500]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
221,3,3,5,"Bin 3: [0.375, 0.500]","Bin 3: [0.375, 0.500]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
222,3,3,6,"Bin 3: [0.375, 0.500]","Bin 3: [0.375, 0.500]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
223,3,3,7,"Bin 3: [0.375, 0.500]","Bin 3: [0.375, 0.500]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
224,3,4,0,"Bin 3: [0.375, 0.500]","Bin 4: [0.500, 0.625]","Bin 0: [0.000, 0.125]",-0.0527,0.0,0.0,-0.0637,INC_AGE
225,3,4,1,"Bin 3: [0.375, 0.500]","Bin 4: [0.500, 0.625]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
226,3,4,2,"Bin 3: [0.375, 0.500]","Bin 4: [0.500, 0.625]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
227,3,4,3,"Bin 3: [0.375, 0.500]","Bin 4: [0.500, 0.625]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
228,3,4,4,"Bin 3: [0.375, 0.500]","Bin 4: [0.500, 0.625]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
229,3,4,5,"Bin 3: [0.375, 0.500]","Bin 4: [0.500, 0.625]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
230,3,4,6,"Bin 3: [0.375, 0.500]","Bin 4: [0.500, 0.625]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
231,3,4,7,"Bin 3: [0.375, 0.500]","Bin 4: [0.500, 0.625]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
232,3,5,0,"Bin 3: [0.375, 0.500]","Bin 5: [0.625, 0.750]","Bin 0: [0.000, 0.125]",0.0,0.0,0.0,0.0,EVICT
233,3,5,1,"Bin 3: [0.375, 0.500]","Bin 5: [0.625, 0.750]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
234,3,5,2,"Bin 3: [0.375, 0.500]","Bin 5: [0.625, 0.750]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
235,3,5,3,"Bin 3: [0.375, 0.500]","Bin 5: [0.625, 0.750]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
236,3,5,4,"Bin 3: [0.375, 0.500]","Bin 5: [0.625, 0.750]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
237,3,5,5,"Bin 3: [0.375, 0.500]","Bin 5: [0.625, 0.750]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
238,3,5,6,"Bin 3: [0.375, 0.500]","Bin 5: [0.625, 0.750]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
239,3,5,7,"Bin 3: [0.375, 0.500]","Bin 5: [0.625, 0.750]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
240,3,6,0,"Bin 3: [0.375, 0.500]","Bin 6: [0.750, 0.875]","Bin 0: [0.000, 0.125]",0.0,0.0,0.0,0.0,EVICT
241,3,6,1,"Bin 3: [0.375, 0.500]","Bin 6: [0.750, 0.875]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
242,3,6,2,"Bin 3: [0.375, 0.500]","Bin 6: [0.750, 0.875]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
243,3,6,3,"Bin 3: [0.375, 0.500]","Bin 6: [0.750, 0.875]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
244,3,6,4,"Bin 3: [0.375, 0.500]","Bin 6: [0.750, 0.875]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
245,3,6,5,"Bin 3: [0.375, 0.500]","Bin 6: [0.750, 0.875]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
246,3,6,6,"Bin 3: [0.375, 0.500]","Bin 6: [0.750, 0.875]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
247,3,6,7,"Bin 3: [0.375, 0.500]","Bin 6: [0.750, 0.875]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
248,3,7,0,"Bin 3: [0.375, 0.500]","Bin 7: [0.875, 1.000]","Bin 0: [0.000, 0.125]",0.0,0.0,0.0,0.0,EVICT
249,3,7,1,"Bin 3: [0.375, 0.500]","Bin 7: [0.875, 1.000]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
250,3,7,2,"Bin 3: [0.375, 0.500]","Bin 7: [0.875, 1.000]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
251,3,7,3,"Bin 3: [0.375, 0.500]","Bin 7: [0.875, 1.000]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
252,3,7,4,"Bin 3: [0.375, 0.500]","Bin 7: [0.875, 1.000]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
253,3,7,5,"Bin 3: [0.375, 0.500]","Bin 7: [0.875, 1.000]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
254,3,7,6,"Bin 3: [0.375, 0.500]","Bin 7: [0.875, 1.000]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
255,3,7,7,"Bin 3: [0.375, 0.500]","Bin 7: [0.875, 1.000]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
256,4,0,0,"Bin 4: [0.500, 0.625]","Bin 0: [0.000, 0.125]","Bin 0: [0.000, 0.125]",-9.3311,-9.6361,-10.2414,-9.2844,REBALANCE
257,4,0,1,"Bin 4: [0.500, 0.625]","Bin 0: [0.000, 0.125]","Bin 1: [0.125, 0.250]",-0.3133,-0.2992,-0.4004,-0.003,REBALANCE
258,4,0,2,"Bin 4: [0.500, 0.625]","Bin 0: [0.000, 0.125]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
259,4,0,3,"Bin 4: [0.500, 0.625]","Bin 0: [0.000, 0.125]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
260,4,0,4,"Bin 4: [0.500, 0.625]","Bin 0: [0.000, 0.125]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
261,4,0,5,"Bin 4: [0.500, 0.625]","Bin 0: [0.000, 0.125]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
262,4,0,6,"Bin 4: [0.500, 0.625]","Bin 0: [0.000, 0.125]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
263,4,0,7,"Bin 4: [0.500, 0.625]","Bin 0: [0.000, 0.125]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
264,4,1,0,"Bin 4: [0.500, 0.625]","Bin 1: [0.125, 0.250]","Bin 0: [0.000, 0.125]",-2.9268,-3.5333,-3.5387,-3.34,EVICT
265,4,1,1,"Bin 4: [0.500, 0.625]","Bin 1: [0.125, 0.250]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
266,4,1,2,"Bin 4: [0.500, 0.625]","Bin 1: [0.125, 0.250]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
267,4,1,3,"Bin 4: [0.500, 0.625]","Bin 1: [0.125, 0.250]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
268,4,1,4,"Bin 4: [0.500, 0.625]","Bin 1: [0.125, 0.250]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
269,4,1,5,"Bin 4: [0.500, 0.625]","Bin 1: [0.125, 0.250]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
270,4,1,6,"Bin 4: [0.500, 0.625]","Bin 1: [0.125, 0.250]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
271,4,1,7,"Bin 4: [0.500, 0.625]","Bin 1: [0.125, 0.250]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
272,4,2,0,"Bin 4: [0.500, 0.625]","Bin 2: [0.250, 0.375]","Bin 0: [0.000, 0.125]",-0.0078,-0.0059,-0.0617,0.6216,REBALANCE
273,4,2,1,"Bin 4: [0.500, 0.625]","Bin 2: [0.250, 0.375]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
274,4,2,2,"Bin 4: [0.500, 0.625]","Bin 2: [0.250, 0.375]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
275,4,2,3,"Bin 4: [0.500, 0.625]","Bin 2: [0.250, 0.375]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
276,4,2,4,"Bin 4: [0.500, 0.625]","Bin 2: [0.250, 0.375]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
277,4,2,5,"Bin 4: [0.500, 0.625]","Bin 2: [0.250, 0.375]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
278,4,2,6,"Bin 4: [0.500, 0.625]","Bin 2: [0.250, 0.375]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
279,4,2,7,"Bin 4: [0.500, 0.625]","Bin 2: [0.250, 0.375]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
280,4,3,0,"Bin 4: [0.500, 0.625]","Bin 3: [0.375, 0.500]","Bin 0: [0.000, 0.125]",-0.1059,-0.9519,0.0,-0.9387,DEC_AGE
281,4,3,1,"Bin 4: [0.500, 0.625]","Bin 3: [0.375, 0.500]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
282,4,3,2,"Bin 4: [0.500, 0.625]","Bin 3: [0.375, 0.500]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
283,4,3,3,"Bin 4: [0.500, 0.625]","Bin 3: [0.375, 0.500]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
284,4,3,4,"Bin 4: [0.500, 0.625]","Bin 3: [0.375, 0.500]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
285,4,3,5,"Bin 4: [0.500, 0.625]","Bin 3: [0.375, 0.500]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
286,4,3,6,"Bin 4: [0.500, 0.625]","Bin 3: [0.375, 0.500]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
287,4,3,7,"Bin 4: [0.500, 0.625]","Bin 3: [0.375, 0.500]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
288,4,4,0,"Bin 4: [0.500, 0.625]","Bin 4: [0.500, 0.625]","Bin 0: [0.000, 0.125]",0.0669,0.0,0.0,0.0,EVICT
289,4,4,1,"Bin 4: [0.500, 0.625]","Bin 4: [0.500, 0.625]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
290,4,4,2,"Bin 4: [0.500, 0.625]","Bin 4: [0.500, 0.625]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
291,4,4,3,"Bin 4: [0.500, 0.625]","Bin 4: [0.500, 0.625]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
292,4,4,4,"Bin 4: [0.500, 0.625]","Bin 4: [0.500, 0.625]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
293,4,4,5,"Bin 4: [0.500, 0.625]","Bin 4: [0.500, 0.625]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
294,4,4,6,"Bin 4: [0.500, 0.625]","Bin 4: [0.500, 0.625]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
295,4,4,7,"Bin 4: [0.500, 0.625]","Bin 4: [0.500, 0.625]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
296,4,5,0,"Bin 4: [0.500, 0.625]","Bin 5: [0.625, 0.750]","Bin 0: [0.000, 0.125]",-0.0393,0.0,0.0,0.0,INC_AGE
297,4,5,1,"Bin 4: [0.500, 0.625]","Bin 5: [0.625, 0.750]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
298,4,5,2,"Bin 4: [0.500, 0.625]","Bin 5: [0.625, 0.750]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
299,4,5,3,"Bin 4: [0.500, 0.625]","Bin 5: [0.625, 0.750]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
300,4,5,4,"Bin 4: [0.500, 0.625]","Bin 5: [0.625, 0.750]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
301,4,5,5,"Bin 4: [0.500, 0.625]","Bin 5: [0.625, 0.750]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
302,4,5,6,"Bin 4: [0.500, 0.625]","Bin 5: [0.625, 0.750]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
303,4,5,7,"Bin 4: [0.500, 0.625]","Bin 5: [0.625, 0.750]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
304,4,6,0,"Bin 4: [0.500, 0.625]","Bin 6: [0.750, 0.875]","Bin 0: [0.000, 0.125]",0.0,0.0,0.0,0.0,EVICT
305,4,6,1,"Bin 4: [0.500, 0.625]","Bin 6: [0.750, 0.875]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
306,4,6,2,"Bin 4: [0.500, 0.625]","Bin 6: [0.750, 0.875]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
307,4,6,3,"Bin 4: [0.500, 0.625]","Bin 6: [0.750, 0.875]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
308,4,6,4,"Bin 4: [0.500, 0.625]","Bin 6: [0.750, 0.875]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
309,4,6,5,"Bin 4: [0.500, 0.625]","Bin 6: [0.750, 0.875]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
310,4,6,6,"Bin 4: [0.500, 0.625]","Bin 6: [0.750, 0.875]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
311,4,6,7,"Bin 4: [0.500, 0.625]","Bin 6: [0.750, 0.875]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
312,4,7,0,"Bin 4: [0.500, 0.625]","Bin 7: [0.875, 1.000]","Bin 0: [0.000, 0.125]",0.0,0.0215,0.0,0.0,INC_AGE
313,4,7,1,"Bin 4: [0.500, 0.625]","Bin 7: [0.875, 1.000]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
314,4,7,2,"Bin 4: [0.500, 0.625]","Bin 7: [0.875, 1.000]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
315,4,7,3,"Bin 4: [0.500, 0.625]","Bin 7: [0.875, 1.000]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
316,4,7,4,"Bin 4: [0.500, 0.625]","Bin 7: [0.875, 1.000]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
317,4,7,5,"Bin 4: [0.500, 0.625]","Bin 7: [0.875, 1.000]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
318,4,7,6,"Bin 4: [0.500, 0.625]","Bin 7: [0.875, 1.000]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
319,4,7,7,"Bin 4: [0.500, 0.625]","Bin 7: [0.875, 1.000]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
320,5,0,0,"Bin 5: [0.625, 0.750]","Bin 0: [0.000, 0.125]","Bin 0: [0.000, 0.125]",-10.5086,-10.4948,-10.2264,-10.0934,REBALANCE
321,5,0,1,"Bin 5: [0.625, 0.750]","Bin 0: [0.000, 0.125]","Bin 1: [0.125, 0.250]",0.3086,-0.5335,0.0,0.0,EVICT
322,5,0,2,"Bin 5: [0.625, 0.750]","Bin 0: [0.000, 0.125]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
323,5,0,3,"Bin 5: [0.625, 0.750]","Bin 0: [0.000, 0.125]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
324,5,0,4,"Bin 5: [0.625, 0.750]","Bin 0: [0.000, 0.125]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
325,5,0,5,"Bin 5: [0.625, 0.750]","Bin 0: [0.000, 0.125]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
326,5,0,6,"Bin 5: [0.625, 0.750]","Bin 0: [0.000, 0.125]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
327,5,0,7,"Bin 5: [0.625, 0.750]","Bin 0: [0.000, 0.125]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
328,5,1,0,"Bin 5: [0.625, 0.750]","Bin 1: [0.125, 0.250]","Bin 0: [0.000, 0.125]",-5.0986,-5.0422,-5.0425,-5.1963,INC_AGE
329,5,1,1,"Bin 5: [0.625, 0.750]","Bin 1: [0.125, 0.250]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
330,5,1,2,"Bin 5: [0.625, 0.750]","Bin 1: [0.125, 0.250]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
331,5,1,3,"Bin 5: [0.625, 0.750]","Bin 1: [0.125, 0.250]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
332,5,1,4,"Bin 5: [0.625, 0.750]","Bin 1: [0.125, 0.250]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
333,5,1,5,"Bin 5: [0.625, 0.750]","Bin 1: [0.125, 0.250]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
334,5,1,6,"Bin 5: [0.625, 0.750]","Bin 1: [0.125, 0.250]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
335,5,1,7,"Bin 5: [0.625, 0.750]","Bin 1: [0.125, 0.250]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
