State_Index,Mac_Bin,Flood_Bin,Age_Bin,Mac_Range,Flood_Range,Age_Range,Q_EVICT,Q_INC_AGE,Q_DEC_AGE,Q_REBALANCE,Best_Action
33,0,4,1,"Bin 0: [0.000, 0.125]","Bin 4: [0.500, 0.625]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
34,0,4,2,"Bin 0: [0.000, 0.125]","Bin 4: [0.500, 0.625]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
35,0,4,3,"Bin 0: [0.000, 0.125]","Bin 4: [0.500, 0.625]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
36,0,4,4,"Bin 0: [0.000, 0.125]","Bin 4: [0.500, 0.625]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
37,0,4,5,"Bin 0: [0.000, 0.125]","Bin 4: [0.500, 0.625]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
38,0,4,6,"Bin 0: [0.000, 0.125]","Bin 4: [0.500, 0.625]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
39,0,4,7,"Bin 0: [0.000, 0.125]","Bin 4: [0.500, 0.625]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
40,0,5,0,"Bin 0: [0.000, 0.125]","Bin 5: [0.625, 0.750]","Bin 0: [0.000, 0.125]",0.0,0.0,0.0,0.0,EVICT
41,0,5,1,"Bin 0: [0.000, 0.125]","Bin 5: [0.625, 0.750]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
42,0,5,2,"Bin 0: [0.000, 0.125]","Bin 5: [0.625, 0.750]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
43,0,5,3,"Bin 0: [0.000, 0.125]","Bin 5: [0.625, 0.750]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
44,0,5,4,"Bin 0: [0.000, 0.125]","Bin 5: [0.625, 0.750]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
45,0,5,5,"Bin 0: [0.000, 0.125]","Bin 5: [0.625, 0.750]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
46,0,5,6,"Bin 0: [0.000, 0.125]","Bin 5: [0.625, 0.750]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
47,0,5,7,"Bin 0: [0.000, 0.125]","Bin 5: [0.625, 0.750]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
48,0,6,0,"Bin 0: [0.000, 0.125]","Bin 6: [0.750, 0.875]","Bin 0: [0.000, 0.125]",0.0,0.0,0.0,0.0,EVICT
49,0,6,1,"Bin 0: [0.000, 0.125]","Bin 6: [0.750, 0.875]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
50,0,6,2,"Bin 0: [0.000, 0.125]","Bin 6: [0.750, 0.875]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
51,0,6,3,"Bin 0: [0.000, 0.125]","Bin 6: [0.750, 0.875]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
52,0,6,4,"Bin 0: [0.000, 0.125]","Bin 6: [0.750, 0.875]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
53,0,6,5,"Bin 0: [0.000, 0.125]","Bin 6: [0.750, 0.875]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
54,0,6,6,"Bin 0: [0.000, 0.125]","Bin 6: [0.750, 0.875]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
55,0,6,7,"Bin 0: [0.000, 0.125]","Bin 6: [0.750, 0.875]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
56,0,7,0,"Bin 0: [0.000, 0.125]","Bin 7: [0.875, 1.000]","Bin 0: [0.000, 0.125]",0.0,0.0,0.0,0.0,EVICT
57,0,7,1,"Bin 0: [0.000, 0.125]","Bin 7: [0.875, 1.000]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
58,0,7,2,"Bin 0: [0.000, 0.125]","Bin 7: [0.875, 1.000]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
59,0,7,3,"Bin 0: [0.000, 0.125]","Bin 7: [0.875, 1.000]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
60,0,7,4,"Bin 0: [0.000, 0.125]","Bin 7: [0.875, 1.000]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
61,0,7,5,"Bin 0: [0.000, 0.125]","Bin 7: [0.875, 1.000]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
62,0,7,6,"Bin 0: [0.000, 0.125]","Bin 7: [0.875, 1.000]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
63,0,7,7,"Bin 0: [0.000, 0.125]","Bin 7: [0.875, 1.000]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
64,1,0,0,"Bin 1: [0.125, 0.250]","Bin 0: [0.000, 0.125]","Bin 0: [0.000, 0.125]",-9.7264,0.0653,-1.5664,-0.8885,INC_AGE
65,1,0,1,"Bin 1: [0.125, 0.250]","Bin 0: [0.000, 0.125]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
66,1,0,2,"Bin 1: [0.125, 0.250]","Bin 0: [0.000, 0.125]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
67,1,0,3,"Bin 1: [0.125, 0.250]","Bin 0: [0.000, 0.125]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
68,1,0,4,"Bin 1: [0.125, 0.250]","Bin 0: [0.000, 0.125]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
69,1,0,5,"Bin 1: [0.125, 0.250]","Bin 0: [0.000, 0.125]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
70,1,0,6,"Bin 1: [0.125, 0.250]","Bin 0: [0.000, 0.125]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
71,1,0,7,"Bin 1: [0.125, 0.250]","Bin 0: [0.000, 0.125]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
72,1,1,0,"Bin 1: [0.125, 0.250]","Bin 1: [0.125, 0.250]","Bin 0: [0.000, 0.125]",0.0,0.0,0.0,0.0,EVICT
